Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
João Silva,"Jan 14, 1999 (22)",Portugal,Centre-Back,€300k,2020,Portuguese First Division,Sporting CP
Nuno Mendes,"Jun 19, 2002 (19)",Portugal,Left-Back,€40.00m,2020,Portuguese First Division,Sporting CP
Nuno Santos,"Feb 13, 1995 (26)",Portugal,Left-Back,€6.00m,2020,Portuguese First Division,Sporting CP
Cristián Borja,"Feb 18, 1993 (28)",Colombia,Left-Back,€3.00m,2020,Portuguese First Division,Sporting CP
Matheus Reis,"Feb 18, 1995 (26)",Brazil,Left-Back,€2.50m,2020,Portuguese First Division,Sporting CP
Antunes,"Apr 1, 1987 (34)",Portugal,Left-Back,€1.00m,2020,Portuguese First Division,Sporting CP
Lumor,"Aug 15, 1996 (24)",Ghana,Left-Back,€1.00m,2020,Portuguese First Division,Sporting CP
Pedro Porro,"Sep 13, 1999 (21)",Spain,Right-Back,€20.00m,2020,Portuguese First Division,Sporting CP
João Pereira,"Feb 25, 1984 (37)",Portugal,Right-Back,€300k,2020,Portuguese First Division,Sporting CP
Tomás Silva,"Oct 15, 1999 (21)",Portugal,Right-Back,-,2020,Portuguese First Division,Sporting CP
João Palhinha,"Jul 9, 1995 (25)",Portugal,Defensive Midfield,€18.00m,2020,Portuguese First Division,Sporting CP
Rodrigo Fernandes,"Mar 23, 2001 (20)",Portugal,Defensive Midfield,€800k,2020,Portuguese First Division,Sporting CP
Bruno Paz,"Apr 23, 1998 (23)","Angola""",Defensive Midfield,€575k,2020,Portuguese First Division,Sporting CP
Dário Essugo,"Mar 14, 2005 (16)","Portugal""",Defensive Midfield,-,2020,Portuguese First Division,Sporting CP
Wendel,"Aug 28, 1997 (23)",Brazil,Central Midfield,€17.00m,2020,Portuguese First Division,Sporting CP
João Mário,"Jan 19, 1993 (28)","Portugal""",Central Midfield,€12.00m,2020,Portuguese First Division,Sporting CP
Matheus Nunes,"Aug 27, 1998 (22)","Portugal""",Central Midfield,€5.00m,2020,Portuguese First Division,Sporting CP
Daniel Bragança,"May 27, 1999 (22)",Portugal,Central Midfield,€5.00m,2020,Portuguese First Division,Sporting CP
Mattheus,"Jul 7, 1994 (26)","Brazil""",Central Midfield,€800k,2020,Portuguese First Division,Sporting CP
Jovane,"Jun 14, 1998 (23)",Cape Verde,Left Winger,€8.00m,2020,Portuguese First Division,Sporting CP
Joelson Fernandes,"Feb 28, 2003 (18)","Portugal""",Left Winger,€6.00m,2020,Portuguese First Division,Sporting CP
Pedro Gonçalves,"Jun 28, 1998 (23)",Portugal,Right Winger,€22.00m,2020,Portuguese First Division,Sporting CP
Bruno Tabata,"Mar 30, 1997 (24)",Brazil,Right Winger,€4.00m,2020,Portuguese First Division,Sporting CP
Gonzalo Plata,"Nov 1, 2000 (20)",Ecuador,Right Winger,€4.00m,2020,Portuguese First Division,Sporting CP
Paulinho,"Nov 9, 1992 (28)",Portugal,Centre-Forward,€15.00m,2020,Portuguese First Division,Sporting CP
Tiago Tomás,"Jun 16, 2002 (19)",Portugal,Centre-Forward,€6.00m,2020,Portuguese First Division,Sporting CP
Luciano Vietto,"Dec 5, 1993 (27)","Argentina""",Centre-Forward,€5.50m,2020,Portuguese First Division,Sporting CP
Andraz Sporar,"Feb 27, 1994 (27)",Slovenia,Centre-Forward,€5.00m,2020,Portuguese First Division,Sporting CP
Luiz Phellype,"Sep 27, 1993 (27)",Brazil,Centre-Forward,€3.00m,2020,Portuguese First Division,Sporting CP
Pedro Marques,"Apr 25, 1998 (23)",Portugal,Centre-Forward,€900k,2020,Portuguese First Division,Sporting CP
Agustín Marchesín,"Mar 16, 1988 (33)","Argentina""",Goalkeeper,€9.00m,2020,Portuguese First Division,Porto
Diogo Costa,"Sep 19, 1999 (21)","Portugal""",Goalkeeper,€6.00m,2020,Portuguese First Division,Porto
Cláudio Ramos,"Nov 16, 1991 (29)",Portugal,Goalkeeper,€1.50m,2020,Portuguese First Division,Porto
Francisco Meixedo,"May 19, 2001 (20)",Portugal,Goalkeeper,€100k,2020,Portuguese First Division,Porto
Chancel Mbemba,"Aug 8, 1994 (26)",DR Congo,Centre-Back,€16.00m,2020,Portuguese First Division,Porto
Diogo Leite,"Jan 23, 1999 (22)",Portugal,Centre-Back,€10.00m,2020,Portuguese First Division,Porto
Malang Sarr,"Jan 23, 1999 (22)","France""",Centre-Back,€10.00m,2020,Portuguese First Division,Porto
Pepe,"Feb 26, 1983 (38)","Portugal""",Centre-Back,€1.00m,2020,Portuguese First Division,Porto
Iván Marcano,"Jun 23, 1987 (34)",Spain,Centre-Back,€1.00m,2020,Portuguese First Division,Porto
Alex Telles,"Dec 15, 1992 (28)","Brazil""",Left-Back,€20.00m,2020,Portuguese First Division,Porto
Zaidu,"Jun 13, 1997 (24)",Nigeria,Left-Back,€8.00m,2020,Portuguese First Division,Porto
Wilson Manafá,"Jul 23, 1994 (26)","Portugal""",Right-Back,€7.00m,2020,Portuguese First Division,Porto
João Mário,"Jan 3, 2000 (21)",Portugal,Right-Back,€4.00m,2020,Portuguese First Division,Porto
Nanu,"May 17, 1994 (27)","Guinea-Bissau""",Right-Back,€3.00m,2020,Portuguese First Division,Porto
Carraça,"Mar 1, 1993 (28)",Portugal,Right-Back,€1.00m,2020,Portuguese First Division,Porto
Danilo Pereira,"Sep 9, 1991 (29)","Portugal""",Defensive Midfield,€20.00m,2020,Portuguese First Division,Porto
Mateus Uribe,"Mar 21, 1991 (30)",Colombia,Defensive Midfield,€15.00m,2020,Portuguese First Division,Porto
Marko Grujić,"Apr 13, 1996 (25)",Serbia,Defensive Midfield,€15.00m,2020,Portuguese First Division,Porto
Mamadou Loum,"Dec 30, 1996 (24)",Senegal,Defensive Midfield,€2.50m,2020,Portuguese First Division,Porto
Sérgio Oliveira,"Jun 2, 1992 (29)",Portugal,Central Midfield,€19.00m,2020,Portuguese First Division,Porto
Romário Baró,"Jan 25, 2000 (21)","Portugal""",Central Midfield,€5.00m,2020,Portuguese First Division,Porto
Otávio,"Feb 9, 1995 (26)","Portugal""",Attacking Midfield,€24.00m,2020,Portuguese First Division,Porto
Fábio Vieira,"May 30, 2000 (21)",Portugal,Attacking Midfield,€9.00m,2020,Portuguese First Division,Porto
Shoya Nakajima,"Aug 23, 1994 (26)",Japan,Attacking Midfield,€3.50m,2020,Portuguese First Division,Porto
Luis Díaz,"Jan 13, 1997 (24)",Colombia,Left Winger,€18.00m,2020,Portuguese First Division,Porto
Jesús Corona,"Jan 6, 1993 (28)","Mexico""",Right Winger,€30.00m,2020,Portuguese First Division,Porto
Felipe Anderson,"Apr 15, 1993 (28)",Brazil,Right Winger,€10.00m,2020,Portuguese First Division,Porto
Francisco Conceição,"Dec 14, 2002 (18)",Portugal,Right Winger,€8.00m,2020,Portuguese First Division,Porto
Mehdi Taremi,"Jul 18, 1992 (28)",Iran,Centre-Forward,€16.00m,2020,Portuguese First Division,Porto
Moussa Marega,"Apr 14, 1991 (30)","Mali""",Centre-Forward,€10.00m,2020,Portuguese First Division,Porto
Evanilson,"Oct 6, 1999 (21)",Brazil,Centre-Forward,€7.50m,2020,Portuguese First Division,Porto
Tiquinho Soares,"Jan 17, 1991 (30)","Brazil""",Centre-Forward,€6.50m,2020,Portuguese First Division,Porto
Toni Martínez,"Jun 30, 1997 (24)",Spain,Centre-Forward,€6.00m,2020,Portuguese First Division,Porto
Zé Luís,"Jan 24, 1991 (30)",Cape Verde,Centre-Forward,€5.00m,2020,Portuguese First Division,Porto
Odysseas Vlachodimos,"Apr 26, 1994 (27)","Greece""",Goalkeeper,€12.00m,2020,Portuguese First Division,Benfica
Helton Leite,"Nov 2, 1990 (30)","Brazil""",Goalkeeper,€7.00m,2020,Portuguese First Division,Benfica
Mile Svilar,"Aug 27, 1999 (21)","Serbia""",Goalkeeper,€2.00m,2020,Portuguese First Division,Benfica
Fábio Duarte,"May 11, 1998 (23)",Portugal,Goalkeeper,€350k,2020,Portuguese First Division,Benfica
Samuel Soares,"Jun 15, 2002 (19)",Portugal,Goalkeeper,-,2020,Portuguese First Division,Benfica
Rúben Dias,"May 14, 1997 (24)",Portugal,Centre-Back,€75.00m,2020,Portuguese First Division,Benfica
Jean-Clair Todibo,"Dec 30, 1999 (21)","France""",Centre-Back,€12.00m,2020,Portuguese First Division,Benfica
Lucas Veríssimo,"Jul 2, 1995 (25)",Brazil,Centre-Back,€8.00m,2020,Portuguese First Division,Benfica
Nicolás Otamendi,"Feb 12, 1988 (33)",Argentina,Centre-Back,€8.00m,2020,Portuguese First Division,Benfica
Jan Vertonghen,"Apr 24, 1987 (34)",Belgium,Centre-Back,€6.00m,2020,Portuguese First Division,Benfica
Ferro,"Mar 26, 1997 (24)",Portugal,Centre-Back,€5.00m,2020,Portuguese First Division,Benfica
Morato,"Jun 30, 2001 (20)",Brazil,Centre-Back,€2.00m,2020,Portuguese First Division,Benfica
Jardel,"Mar 29, 1986 (35)","Brazil""",Centre-Back,€300k,2020,Portuguese First Division,Benfica
Branimir Kalaica,"Jun 1, 1998 (23)",Croatia,Centre-Back,€250k,2020,Portuguese First Division,Benfica
Alejandro Grimaldo,"Sep 20, 1995 (25)",Spain,Left-Back,€22.00m,2020,Portuguese First Division,Benfica
Nuno Tavares,"Jan 26, 2000 (21)","Portugal""",Left-Back,€7.00m,2020,Portuguese First Division,Benfica
Tiago Araújo,"Mar 27, 2001 (20)",Portugal,Left-Back,€550k,2020,Portuguese First Division,Benfica
André Almeida,"Sep 10, 1990 (30)",Portugal,Right-Back,€5.00m,2020,Portuguese First Division,Benfica
Gilberto,"Mar 7, 1993 (28)",Brazil,Right-Back,€3.00m,2020,Portuguese First Division,Benfica
João Ferreira,"Mar 22, 2001 (20)",Portugal,Right-Back,€850k,2020,Portuguese First Division,Benfica
Julian Weigl,"Sep 8, 1995 (25)",Germany,Defensive Midfield,€20.00m,2020,Portuguese First Division,Benfica
Andreas Samaris,"Jun 13, 1989 (32)",Greece,Defensive Midfield,€2.00m,2020,Portuguese First Division,Benfica
Ilija Vukotic,"Jan 7, 1999 (22)",Montenegro,Defensive Midfield,€400k,2020,Portuguese First Division,Benfica
Diogo Gonçalves,"Feb 6, 1997 (24)",Portugal,Central Midfield,€8.00m,2020,Portuguese First Division,Benfica
Gabriel Pires,"Sep 18, 1993 (27)","Brazil""",Central Midfield,€7.00m,2020,Portuguese First Division,Benfica
Chiquinho,"Jul 19, 1995 (25)",Portugal,Central Midfield,€6.00m,2020,Portuguese First Division,Benfica
Adel Taarabt,"May 24, 1989 (32)","Morocco""",Central Midfield,€4.00m,2020,Portuguese First Division,Benfica
Paulo Bernardo,"Jan 24, 2002 (19)",Portugal,Central Midfield,€1.50m,2020,Portuguese First Division,Benfica
Pizzi,"Oct 6, 1989 (31)",Portugal,Attacking Midfield,€12.00m,2020,Portuguese First Division,Benfica
Rafa,"May 17, 1993 (28)",Portugal,Left Winger,€23.00m,2020,Portuguese First Division,Benfica
Everton,"Mar 22, 1996 (25)",Brazil,Left Winger,€20.00m,2020,Portuguese First Division,Benfica
Franco Cervi,"May 26, 1994 (27)","Argentina""",Left Winger,€5.00m,2020,Portuguese First Division,Benfica
Pedrinho,"Apr 13, 1998 (23)",Brazil,Right Winger,€15.00m,2020,Portuguese First Division,Benfica
Darwin Núñez,"Jun 24, 1999 (22)",Uruguay,Centre-Forward,€20.00m,2020,Portuguese First Division,Benfica
Carlos Vinícius,"Mar 25, 1995 (26)",Brazil,Centre-Forward,€18.00m,2020,Portuguese First Division,Benfica
Luca Waldschmidt,"May 19, 1996 (25)",Germany,Centre-Forward,€15.00m,2020,Portuguese First Division,Benfica
Haris Seferovic,"Feb 22, 1992 (29)","Switzerland""",Centre-Forward,€14.00m,2020,Portuguese First Division,Benfica
Gonçalo Ramos,"Jun 20, 2001 (20)",Portugal,Centre-Forward,€8.00m,2020,Portuguese First Division,Benfica
Facundo Ferreyra,"Mar 14, 1991 (30)","Argentina""",Centre-Forward,€2.00m,2020,Portuguese First Division,Benfica
Daniel dos Anjos,"Jan 21, 1996 (25)",Brazil,Centre-Forward,€150k,2020,Portuguese First Division,Benfica
Matheus,"Mar 29, 1992 (29)","Brazil""",Goalkeeper,€6.00m,2020,Portuguese First Division,Braga
Lukas Hornicek,"Jul 13, 2002 (18)",Czech Republic,Goalkeeper,€2.00m,2020,Portuguese First Division,Braga
Tiago Sá,"Jan 11, 1995 (26)",Portugal,Goalkeeper,€1.00m,2020,Portuguese First Division,Braga
Rogério,"Mar 29, 1999 (22)",Portugal,Goalkeeper,€200k,2020,Portuguese First Division,Braga
David Carmo,"Jul 19, 1999 (21)",Portugal,Centre-Back,€10.00m,2020,Portuguese First Division,Braga
Bruno Viana,"Feb 5, 1995 (26)",Brazil,Centre-Back,€7.00m,2020,Portuguese First Division,Braga
Vítor Tormena,"Jan 4, 1996 (25)",Brazil,Centre-Back,€3.00m,2020,Portuguese First Division,Braga
Raúl Silva,"Nov 4, 1989 (31)",Brazil,Centre-Back,€2.50m,2020,Portuguese First Division,Braga
Bruno Rodrigues,"Jun 8, 2001 (20)",Portugal,Centre-Back,€2.00m,2020,Portuguese First Division,Braga
Rodrigo Borges,"Aug 5, 1998 (22)",Portugal,Centre-Back,€300k,2020,Portuguese First Division,Braga
Rolando,"Aug 31, 1985 (35)","Portugal""",Centre-Back,€200k,2020,Portuguese First Division,Braga
Guilherme,"Feb 8, 2001 (20)",Portugal,Centre-Back,-,2020,Portuguese First Division,Braga
Zé Pedro,"Jan 16, 2002 (19)",Portugal,Centre-Back,-,2020,Portuguese First Division,Braga
Sequeira,"Aug 19, 1990 (30)",Portugal,Left-Back,€4.00m,2020,Portuguese First Division,Braga
Cristián Borja,"Feb 18, 1993 (28)",Colombia,Left-Back,€3.00m,2020,Portuguese First Division,Braga
Francisco Moura,"Aug 16, 1999 (21)",Portugal,Left-Back,€1.00m,2020,Portuguese First Division,Braga
Caju,"Jul 17, 1995 (25)",Brazil,Left-Back,€600k,2020,Portuguese First Division,Braga
Ricardo Esgaio,"May 16, 1993 (28)",Portugal,Right-Back,€6.00m,2020,Portuguese First Division,Braga
Zé Carlos,"Jul 31, 1998 (22)",Portugal,Right-Back,€500k,2020,Portuguese First Division,Braga
Al-Musrati,"Apr 6, 1996 (25)",Libya,Defensive Midfield,€12.00m,2020,Portuguese First Division,Braga
Fransérgio,"Oct 18, 1990 (30)","Brazil""",Central Midfield,€5.00m,2020,Portuguese First Division,Braga
André Horta,"Nov 7, 1996 (24)",Portugal,Central Midfield,€4.00m,2020,Portuguese First Division,Braga
João Novais,"Jul 10, 1993 (27)",Portugal,Central Midfield,€3.00m,2020,Portuguese First Division,Braga
Castro,"Apr 2, 1988 (33)",Portugal,Central Midfield,€1.50m,2020,Portuguese First Division,Braga
Schürrle,"Aug 17, 2001 (19)",Portugal,Central Midfield,€500k,2020,Portuguese First Division,Braga
Lucas Piazón,"Jan 20, 1994 (27)","Brazil""",Attacking Midfield,€4.00m,2020,Portuguese First Division,Braga
Nico Gaitán,"Feb 23, 1988 (33)",Argentina,Attacking Midfield,€1.50m,2020,Portuguese First Division,Braga
Eduardo,"Jun 7, 1993 (28)",Brazil,Attacking Midfield,€400k,2020,Portuguese First Division,Braga
Berna,"Aug 16, 2002 (18)",Portugal,Attacking Midfield,€400k,2020,Portuguese First Division,Braga
Ricardo Horta,"Sep 15, 1994 (26)",Portugal,Left Winger,€14.00m,2020,Portuguese First Division,Braga
Galeno,"Oct 22, 1997 (23)","Brazil""",Left Winger,€10.00m,2020,Portuguese First Division,Braga
Iuri Medeiros,"Jul 10, 1994 (26)",Portugal,Right Winger,€4.00m,2020,Portuguese First Division,Braga
Rodrigo Gomes,"Jul 7, 2003 (17)",Portugal,Right Winger,€2.00m,2020,Portuguese First Division,Braga
Hernâni,"Apr 3, 2001 (20)","Portugal""",Right Winger,€500k,2020,Portuguese First Division,Braga
Paulinho,"Nov 9, 1992 (28)",Portugal,Centre-Forward,€15.00m,2020,Portuguese First Division,Braga
Abel Ruiz,"Jan 28, 2000 (21)",Spain,Centre-Forward,€7.00m,2020,Portuguese First Division,Braga
Andraz Sporar,"Feb 27, 1994 (27)",Slovenia,Centre-Forward,€5.00m,2020,Portuguese First Division,Braga
Rui Fonte,"Apr 23, 1990 (31)",Portugal,Centre-Forward,€2.00m,2020,Portuguese First Division,Braga
Guilherme Schettine,"Oct 10, 1995 (25)","Brazil""",Centre-Forward,€1.00m,2020,Portuguese First Division,Braga
Vitinha,"Mar 15, 2000 (21)",Portugal,Centre-Forward,€500k,2020,Portuguese First Division,Braga
Vitor Gabriel,"Jan 20, 2000 (21)",Brazil,Centre-Forward,€350k,2020,Portuguese First Division,Braga
Jordi,"Sep 3, 1993 (27)",Brazil,Goalkeeper,€1.00m,2020,Portuguese First Division,Paços
Michael,"Apr 8, 1995 (26)",Brazil,Goalkeeper,€400k,2020,Portuguese First Division,Paços
Simão,"Jul 2, 1993 (27)",Brazil,Goalkeeper,€200k,2020,Portuguese First Division,Paços
Zé Pedro,"Apr 6, 2002 (19)",Portugal,Goalkeeper,-,2020,Portuguese First Division,Paços
Maracás,"Apr 27, 1994 (27)",Brazil,Centre-Back,€700k,2020,Portuguese First Division,Paços
Marco Baixinho,"Jul 11, 1989 (31)",Portugal,Centre-Back,€500k,2020,Portuguese First Division,Paços
Marcelo,"Jul 27, 1989 (31)","Brazil""",Centre-Back,€500k,2020,Portuguese First Division,Paços
Pedro Marques,"Mar 18, 1998 (23)",Portugal,Centre-Back,€200k,2020,Portuguese First Division,Paços
Oleg Reabciuk,"Jan 16, 1998 (23)","Moldova""",Left-Back,€2.50m,2020,Portuguese First Division,Paços
Pedro Rebocho,"Jan 23, 1995 (26)",Portugal,Left-Back,€1.50m,2020,Portuguese First Division,Paços
David Sualehe,"Mar 23, 1997 (24)","Portugal""",Left-Back,€200k,2020,Portuguese First Division,Paços
Fernando Fonseca,"Mar 14, 1997 (24)",Portugal,Right-Back,€1.50m,2020,Portuguese First Division,Paços
Jorge Silva,"Mar 22, 1996 (25)",Portugal,Right-Back,€300k,2020,Portuguese First Division,Paços
Momo Diaby,"Sep 3, 1996 (24)","France""",Defensive Midfield,€500k,2020,Portuguese First Division,Paços
Abbas Ibrahim,"Jan 2, 1998 (23)",Nigeria,Defensive Midfield,€250k,2020,Portuguese First Division,Paços
Stephen Eustaquio,"Dec 21, 1996 (24)","Canada""",Central Midfield,€4.00m,2020,Portuguese First Division,Paços
Bruno Costa,"Apr 19, 1997 (24)",Portugal,Central Midfield,€2.50m,2020,Portuguese First Division,Paços
Matchoi Djaló,"Apr 10, 2003 (18)","Portugal""",Central Midfield,€400k,2020,Portuguese First Division,Paços
Martín Calderón,"Mar 1, 1999 (22)",Spain,Central Midfield,€300k,2020,Portuguese First Division,Paços
Luíz Carlos,"Jul 5, 1985 (35)",Brazil,Central Midfield,€100k,2020,Portuguese First Division,Paços
João Amaral,"Sep 7, 1991 (29)",Portugal,Attacking Midfield,€700k,2020,Portuguese First Division,Paços
Adriano Castanheira,"Apr 7, 1993 (28)","Portugal""",Attacking Midfield,€400k,2020,Portuguese First Division,Paços
Cristian Parano,"Aug 16, 1999 (21)",Argentina,Attacking Midfield,€250k,2020,Portuguese First Division,Paços
Luther Singh,"Aug 5, 1997 (23)",South Africa,Left Winger,€3.00m,2020,Portuguese First Division,Paços
Hélder Ferreira,"Apr 5, 1997 (24)",Portugal,Right Winger,€1.50m,2020,Portuguese First Division,Paços
Uilton,"Jul 25, 1992 (28)",Brazil,Right Winger,€600k,2020,Portuguese First Division,Paços
Douglas Tanque,"Oct 27, 1993 (27)",Brazil,Centre-Forward,€2.00m,2020,Portuguese First Division,Paços
Dor Jan,"Dec 16, 1994 (26)","Israel""",Centre-Forward,€400k,2020,Portuguese First Division,Paços
João Pedro,"Nov 13, 1996 (24)","Guinea-Bissau""",Centre-Forward,€400k,2020,Portuguese First Division,Paços
Pedro Martelo,"Oct 12, 1999 (21)",Portugal,Centre-Forward,€300k,2020,Portuguese First Division,Paços
Lucas Silva,"Jan 30, 1998 (23)",Brazil,Centre-Forward,€300k,2020,Portuguese First Division,Paços
André Ferreira,"May 29, 1996 (25)",Portugal,Goalkeeper,€200k,2020,Portuguese First Division,Santa Clara
Marco Pereira,"Jan 12, 1987 (34)",Portugal,Goalkeeper,€200k,2020,Portuguese First Division,Santa Clara
Rodolfo Cardoso,"Oct 13, 1997 (23)",Portugal,Goalkeeper,€100k,2020,Portuguese First Division,Santa Clara
Fábio Cardoso,"Apr 19, 1994 (27)",Portugal,Centre-Back,€2.00m,2020,Portuguese First Division,Santa Clara
Mikel Villanueva,"Apr 14, 1993 (28)","Venezuela""",Centre-Back,€1.00m,2020,Portuguese First Division,Santa Clara
João Afonso,"May 28, 1990 (31)",Portugal,Centre-Back,€500k,2020,Portuguese First Division,Santa Clara
Cristian Tassano,"Jul 23, 1996 (24)","Uruguay""",Centre-Back,€300k,2020,Portuguese First Division,Santa Clara
Mansur,"Apr 17, 1993 (28)",Brazil,Left-Back,€800k,2020,Portuguese First Division,Santa Clara
João Lucas,"Jan 15, 1996 (25)",Portugal,Left-Back,€250k,2020,Portuguese First Division,Santa Clara
Rafael Ramos,"Jan 9, 1995 (26)",Portugal,Right-Back,€800k,2020,Portuguese First Division,Santa Clara
Pierre Sagna,"Aug 21, 1990 (30)","Senegal""",Right-Back,€250k,2020,Portuguese First Division,Santa Clara
Osama Rashid,"Jan 13, 1992 (29)","Iraq""",Defensive Midfield,€1.20m,2020,Portuguese First Division,Santa Clara
Nené,"Jun 10, 1995 (26)",Portugal,Defensive Midfield,€325k,2020,Portuguese First Division,Santa Clara
Júlio Romão,"Mar 29, 1998 (23)",Brazil,Defensive Midfield,€200k,2020,Portuguese First Division,Santa Clara
